Expected,Calculated
3.42,3.2583
3.74,3.7536
4.53,3.9754
2.84,2.6949
3.32,2.8557
3.42,3.1322
2.16,3.7536
2.42,3.2583
4.58,3.9754
1.53,3.1322
2.05,2.6949
3.37,2.8557
2.11,3.7536
2.32,3.2583
3.16,3.9754
1.74,3.1322
2.53,2.8557
2.63,2.6949
4.0,3.2583
4.16,3.7536
5.0,3.9754
3.32,3.1322
3.47,2.6949
4.05,2.8557
2.47,3.7536
3.47,3.2583
4.53,3.9754
2.0,3.1322
3.05,2.6949
3.37,2.8557
2.928,3.7536
3.126,3.2583
4.36,3.9754
2.402,3.1322
2.808,2.6949
3.328,2.8557
1.7,4.2285
3.45,4.1914
2.55,4.1931
3.55,4.3424
3.5,4.3115
3.15,4.3132
3.25,4.3377
3.6,4.281
2.55,4.3064
3.0,4.3747
3.75,4.3159
3.4,4.3453
4.0,3.534
3.8,3.5281
3.0,3.5018
2.5,3.4252
1.8,3.322
1.5,3.2079
2.0,4.2046
2.2,4.4178
2.8,4.4178
2.3,4.4178
1.5,3.5953
1.7,4.4178
1.8,4.4178
1.85,4.4178
3.0,4.1472
3.05,4.1594
3.15,4.1182
3.08,4.1138
2.2,3.8747
2.4,3.9076
2.5,3.8939
2.45,3.8824
1.75,3.6327
1.85,3.6195
1.9,3.5008
1.85,3.5064
1.55,3.5058
1.6,3.4822
1.6,3.3953
1.75,3.3573
5.0,4.5863
3.5,4.1474
3.05,3.692
3.1,3.3693
2.2,3.1523
1.95,2.9594
2.0,2.7889
5.0,4.5863
3.2,3.8675
2.5,3.4092
2.1,3.1036
2.2,2.8481
2.0,2.6333
2.1,2.446
